;available;price;name;rating;link
10;В наличии;8999;PowerColor AMD Radeon 550 LP [AXRX 550 2GBD5-HLE] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1100 МГц - 1071 МГц, DVI-D, HDMI];2,5;https://www.dns-shop.ru//product/7b6291e13ad5ed20/videokarta-powercolor-amd-radeon-550-lp-axrx-550-2gbd5-hle/
11;В наличии;9999;MSI GeForce GT 730 Silent LP [N730K-2GD3H/LP] [PCI-E 2.0, 2 ГБ GDDR3, 64 бит, 902 МГц, HDMI, VGA (D-Sub), DVI-D];4;https://www.dns-shop.ru//product/4e2d233dce283330/videokarta-msi-geforce-gt-730-silent-lp-n730k-2gd3hlp/
12;В наличии;10399;MSI GeForce GT 730 [N730-4GD3] [PCI-E 2.0, 4 ГБ GDDR3, 128 бит, 750 МГц, HDMI, VGA (D-Sub), DVI-I];3,5;https://www.dns-shop.ru//product/1d245a204f5c4699/videokarta-msi-geforce-gt-730-n730-4gd3/
13;В наличии;10599;ASUS GeForce GT 730 [GT730-4H-SL-2GD5] [PCI-E 2.0, 2 ГБ GDDR5, 64 бит, 902 МГц - 927 МГц, HDMI x4];4,5;https://www.dns-shop.ru//product/a5c7b5f420d8ed20/videokarta-asus-geforce-gt-730-gt730-4h-sl-2gd5/
14;В наличии;10799;ASUS GeForce GT 730 Silent LP [GT730-SL-2GD5-BRK-E] [PCI-E 2.0, 2 ГБ GDDR5, 64 бит, 700 МГц - 732 МГц, DVI-D, HDMI, VGA (D-Sub)];4,5;https://www.dns-shop.ru//product/027c05435631ed20/videokarta-asus-geforce-gt-730-silent-lp-gt730-sl-2gd5-brk-e/
15;В наличии;10999;MSI GeForce GT 730 [N730K-4GD3/OCV1] [PCI-E 2.0, 4 ГБ GDDR3, 64 бит, 902 МГц - 1006 МГц, DVI-D, HDMI, VGA (D-Sub)];4;https://www.dns-shop.ru//product/7811b31acff02ff2/videokarta-msi-geforce-gt-730-n730k-4gd3ocv1/
16;В наличии;11399;Inno3D GeForce GT 1030 LP [N1030-1DDV-E5BL] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1227 МГц - 1468 МГц, DVI-D, HDMI];4;https://www.dns-shop.ru//product/a2cb2ae60e37d763/videokarta-inno3d-geforce-gt-1030-lp-n1030-1ddv-e5bl/
17;В наличии;11999;GIGABYTE GeForce GT 1030 Low Profile D4 2G [GV-N1030D4-2GL] [PCI-E 3.0, 2 ГБ DDR4, 64 бит, 1151 МГц - 1417 МГц, HDMI, DVI-D];4,5;https://www.dns-shop.ru//product/246b8ebd54e13330/videokarta-gigabyte-geforce-gt-1030-low-profile-d4-2g-gv-n1030d4-2gl/
18;В наличии;12999;KFA2 GeForce GT 1030 [30NPH4HVQ4SK] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1227 МГц - 1468 МГц, HDMI, DVI-D];4,5;https://www.dns-shop.ru//product/cf0b07e0e6d53330/videokarta-kfa2-geforce-gt-1030-30nph4hvq4sk/
19;В наличии;12999;PowerColor AMD Radeon RX 550 Red Dragon LP [AXRX 550 4GBD5-HLE] [PCI-E 3.0, 4 ГБ GDDR5, 128 бит, 1100 МГц - 1071 МГц, DVI-D, HDMI];3;https://www.dns-shop.ru//product/573cc04348d1ed20/videokarta-powercolor-amd-radeon-rx-550-red-dragon-lp-axrx-550-4gbd5-hle/
